Note: This report still in beta version.,تنبيهة:هذا التقرير لا يزال في نسخته التجريبية.
Notice: This report is in its beta phase and is subject to ongoing improvements. Users are advised to review the data carefully and report any discrepancies.,ملاحظة: هذا التقرير في مرحلته التجريبية ويخضع لتحسينات مستمرة. يُنصح المستخدمون بمراجعة البيانات بعناية والإبلاغ عن أي تناقضات.
party_balance,رصيد الطرف
